"","match_id","team","yellow_cards","red_cards","crosses","corners","fouls_committed","shots_on_target","shots_off_target","team_goals","opponent_team_api_id","opponent_goals","goal_difference","date"
"1","1729",10260,3,0,24,6,16,11,10,1,10261,1,0,2008-08-17
"2","1731",8650,2,0,19,8,12,11,5,NA,NA,NA,NA,2008-08-16
"3","1732",8528,1,0,27,10,13,7,15,1,8654,2,-1,2008-08-16
"4","1732",8654,2,0,15,6,14,5,7,2,8528,1,1,2008-08-16
"5","1733",8456,1,0,16,8,13,9,5,2,10252,4,-2,2008-08-17
"6","1734",8655,2,0,21,4,11,8,8,3,8668,2,1,2008-08-16
"7","1734",8668,2,0,14,3,11,2,7,2,8655,3,-1,2008-08-16
"8","1735",8549,1,0,25,7,11,7,5,NA,NA,NA,NA,2008-08-16
"9","1735",8586,2,0,27,9,11,2,5,NA,NA,NA,NA,2008-08-16
"10","1736",8559,1,0,22,4,14,5,7,3,10194,1,2,2008-08-16
"11","1736",10194,2,0,29,3,15,1,6,1,8559,3,-2,2008-08-16
"12","1737",8667,3,0,16,5,10,5,5,2,9879,1,1,2008-08-16
"13","1738",8462,1,0,9,3,8,7,5,NA,NA,NA,NA,2008-08-17
"14","1739",8654,2,0,6,1,15,3,3,NA,NA,NA,NA,2008-10-29
"15","1739",10260,1,0,14,3,11,11,8,NA,NA,NA,NA,2008-10-29
"16","1740",8586,4,0,14,1,16,3,5,4,9825,4,0,2008-10-29
"17","1740",9825,1,0,22,9,9,9,11,4,8586,4,0,2008-10-29
"18","1741",8456,3,0,6,3,14,11,5,NA,NA,NA,NA,2008-10-29
"19","1741",8549,1,0,14,3,14,5,2,NA,NA,NA,NA,2008-10-29
"20","1742",8559,1,0,19,5,17,13,6,NA,NA,NA,NA,2008-10-29
"21","1742",8668,2,0,25,3,13,6,4,NA,NA,NA,NA,2008-10-29
"22","1743",8455,2,0,18,4,13,3,18,NA,NA,NA,NA,2008-10-29
"23","1744",8472,1,0,11,3,8,4,6,NA,NA,NA,NA,2008-10-29
"24","1744",10194,2,0,22,5,12,4,6,NA,NA,NA,NA,2008-10-29
"25","1745",8462,3,0,6,1,13,1,3,NA,NA,NA,NA,2008-10-29
"26","1746",8655,1,0,11,5,17,7,6,2,10252,3,-1,2008-10-29
"27","1747",8659,4,0,15,8,12,5,9,1,10261,2,-1,2008-10-28
"28","1748",8528,2,0,21,2,14,4,4,NA,NA,NA,NA,2008-10-29
"29","1749",8667,2,0,8,1,13,3,4,3,10260,5,-2,2008-11-01
"30","1749",10260,2,0,12,9,13,7,9,5,8667,3,2,2008-11-01
"31","1750",8586,1,0,14,3,17,5,4,1,8650,2,-1,2008-11-01
"32","1750",8650,2,0,14,4,12,5,11,2,8586,1,1,2008-11-01
"33","1752",8549,3,0,23,4,9,8,5,1,8654,1,0,2008-11-01
"34","1752",8654,4,0,14,4,17,8,6,1,8549,1,0,2008-11-01
"35","1753",10252,3,0,19,6,20,1,6,NA,NA,NA,NA,2008-11-03
"36","1753",10261,4,0,11,2,14,5,5,NA,NA,NA,NA,2008-11-03
"37","1754",8456,1,0,7,1,21,7,5,1,8559,1,0,2008-11-02
"38","1754",8559,1,0,26,6,15,8,6,1,8456,1,0,2008-11-02
"39","1755",8655,2,0,9,3,16,4,4,2,8659,2,0,2008-11-01
"40","1755",8659,3,0,28,2,10,7,7,2,8655,2,0,2008-11-01
"41","1756",8528,3,0,22,6,12,9,5,2,8462,1,1,2008-11-01
"42","1757",9825,2,1,26,6,7,4,8,1,10194,2,-1,2008-11-01
"43","1757",10194,4,0,14,3,13,3,2,2,9825,1,1,2008-11-01
"44","1758",8472,1,0,11,NA,11,NA,1,NA,NA,NA,NA,2008-11-01
"45","1759",9825,3,0,16,5,17,6,6,2,10260,2,0,2008-11-08
"46","1759",10260,2,0,20,6,8,9,10,2,9825,2,0,2008-11-08
"47","1760",8650,2,0,13,3,10,8,2,NA,NA,NA,NA,2008-11-08
"48","1760",8659,1,0,14,7,8,2,2,NA,NA,NA,NA,2008-11-08
"49","1761",8462,1,0,17,3,9,3,4,2,8472,1,1,2008-11-08
"50","1761",8472,2,0,21,8,8,4,4,1,8462,2,-1,2008-11-08
"51","1762",8654,1,0,22,9,10,11,5,1,8668,3,-2,2008-11-08
"52","1762",8668,1,0,26,4,10,3,8,3,8654,1,2,2008-11-08
"53","1763",8549,2,0,13,4,8,5,7,2,10252,1,1,2008-11-09
"54","1763",10252,2,0,24,8,12,10,5,1,8549,2,-1,2008-11-09
"55","1764",8456,1,1,20,4,12,6,2,1,8586,2,-1,2008-11-09
"56","1764",8586,2,1,25,4,12,5,7,2,8456,1,1,2008-11-09
"57","1765",8455,1,0,25,9,10,9,7,NA,NA,NA,NA,2008-11-09
"58","1765",8655,2,0,12,5,14,3,4,NA,NA,NA,NA,2008-11-09
"59","1766",9879,2,0,25,6,13,5,5,2,10261,1,1,2008-11-09
"60","1766",10261,2,0,18,1,12,6,7,1,9879,2,-1,2008-11-09
"61","1767",8559,2,0,16,7,13,7,3,NA,NA,NA,NA,2008-11-08
"62","1767",8667,1,0,25,6,15,8,7,NA,NA,NA,NA,2008-11-08
"63","1768",8528,1,0,35,5,10,9,8,NA,NA,NA,NA,2008-11-08
"64","1768",10194,3,0,12,3,13,1,1,NA,NA,NA,NA,2008-11-08
"65","1769",10194,2,0,12,NA,16,NA,2,NA,NA,NA,NA,2008-11-15
"66","1769",10260,1,0,17,3,6,11,6,NA,NA,NA,NA,2008-11-15
